t,vx_true,vy_true,vz_true,vx_est,vy_est,vz_est
2.65,0.203732,0.0479511,0.207146,0.201359,0.0502993,0.217772
2.66,0.221032,0.0499331,0.136536,0.220277,0.0523393,0.147589
2.67,0.227423,0.0517086,0.0517221,0.228271,0.0538403,0.0627051
2.68,0.224927,0.0536017,-0.0354602,0.227876,0.0553286,-0.0247012
2.69,0.219071,0.0552649,-0.11421,0.224019,0.0566695,-0.10359
2.7,0.21691,0.0578832,-0.189683,0.223679,0.0588703,-0.179671
2.71,0.216065,0.0601701,-0.251729,0.223902,0.0609726,-0.241976
2.72,0.212759,0.0607402,-0.284241,0.221347,0.0614055,-0.274599
2.73,0.205495,0.0614956,-0.28382,0.214328,0.0615407,-0.274067
2.74,0.194477,0.0640944,-0.255277,0.202707,0.064333,-0.245021
2.75,0.181785,0.0682903,-0.206916,0.189131,0.0683221,-0.196274
2.76,0.169927,0.0728075,-0.14805,0.175957,0.0725382,-0.136776
2.77,0.15559,0.0728163,-0.0769787,0.159812,0.0722992,-0.0651288
2.78,0.13417,0.0520256,0.0274798,0.135311,0.0509256,0.0391456
2.79,0.132521,0.0219638,0.116875,0.130779,0.019938,0.128796
2.8,0.14119,-0.0030241,0.193358,0.136837,-0.00564269,0.205705
2.81,0.138097,-0.0163434,0.269148,0.131667,-0.0194655,0.28105
2.82,0.152811,-0.0268157,0.29614,0.14588,-0.029939,0.307482
2.83,0.178883,-0.0364166,0.287795,0.173683,-0.0394001,0.298525
2.84,0.208,-0.0448726,0.256689,0.204898,-0.0478435,0.267486
2.85,0.233622,-0.0496871,0.21093,0.231404,-0.0527217,0.222412
2.86,0.251158,-0.0515685,0.141383,0.25022,-0.0543634,0.153476
2.87,0.257178,-0.0532591,0.0564605,0.257997,-0.0559717,0.068276
2.88,0.254028,-0.0550181,-0.0308141,0.256803,-0.0575752,-0.0192178
2.89,0.247494,-0.056501,-0.109236,0.251755,-0.0590083,-0.0979836
2.9,0.244728,-0.059031,-0.184308,0.250483,-0.0612852,-0.173526
2.91,0.243571,-0.061091,-0.246912,0.251005,-0.0633561,-0.2363
2.92,0.24034,-0.061088,-0.281206,0.248295,-0.0629568,-0.270755
2.93,0.233442,-0.0613846,-0.283548,0.241661,-0.0630707,-0.272953
2.94,0.222878,-0.0635279,-0.258188,0.230589,-0.0643734,-0.2472
2.95,0.210949,-0.0675791,-0.212444,0.217884,-0.0679597,-0.200768
2.96,0.200102,-0.0721338,-0.154932,0.205603,-0.0721375,-0.142688
2.97,0.187725,-0.073122,-0.0859519,0.191596,-0.0728616,-0.0732875
2.98,0.165299,-0.0536973,0.0185284,0.166097,-0.0532089,0.0312528
2.99,0.161756,-0.0231589,0.110596,0.159943,-0.0225789,0.123324
3,0.168352,0.00218399,0.190462,0.163968,0.00285954,0.203512
3.01,0.158327,0.0153761,0.27291,0.151665,0.016483,0.285315
3.02,0.173322,0.0261983,0.300159,0.166018,0.0278222,0.312229
3.03,0.200422,0.0364196,0.291496,0.194421,0.0388964,0.302721
3.04,0.231025,0.0453475,0.259973,0.227203,0.0480312,0.270833
3.05,0.257663,0.0504923,0.213972,0.254672,0.0533932,0.225474
3.06,0.275324,0.0527834,0.144747,0.273644,0.0557037,0.156707
3.07,0.280955,0.0547337,0.060878,0.281038,0.0576256,0.0728075
3.08,0.277419,0.0564006,-0.0252157,0.279226,0.0593156,-0.0135492
3.09,0.270584,0.0576243,-0.102755,0.274069,0.0600186,-0.0915024
3.1,0.267284,0.0601833,-0.176104,0.272306,0.0622763,-0.164989
3.11,0.266598,0.0628342,-0.241693,0.273241,0.0647583,-0.231089
3.12,0.264003,0.0633792,-0.280239,0.271532,0.0646107,-0.270053
3.13,0.257391,0.0636944,-0.286452,0.265391,0.0649214,-0.276155
3.14,0.246386,0.0661758,-0.26411,0.254308,0.0675959,-0.253487
3.15,0.233529,0.0707782,-0.219964,0.240549,0.0719745,-0.208758
3.16,0.221458,0.0760322,-0.16267,0.227243,0.0774033,-0.150851
3.17,0.206196,0.0766734,-0.0904386,0.210216,0.077755,-0.0777795
3.18,0.181646,0.055666,0.0178643,0.183072,0.056244,0.0309645
3.19,0.176546,0.0248095,0.110604,0.175513,0.0247835,0.123746
3.2,0.183336,-0.00158657,0.188369,0.180147,-0.00224012,0.201754
3.21,0.174169,-0.0158621,0.269147,0.168723,-0.0166204,0.28167
3.22,0.190098,-0.0274077,0.293516,0.184035,-0.0284236,0.305461
3.23,0.217722,-0.0377479,0.283383,0.212683,-0.0386598,0.294466
3.24,0.248534,-0.0464752,0.252084,0.245247,-0.0474023,0.262825
3.25,0.275256,-0.0515674,0.207559,0.272771,-0.0524306,0.218433
3.26,0.293099,-0.0539768,0.139537,0.292073,-0.0548797,0.150445
3.27,0.298858,-0.0561928,0.0562394,0.29936,-0.0570488,0.0673214
3.28,0.295375,-0.0581883,-0.0292222,0.297636,-0.0589579,-0.0184761
3.29,0.288501,-0.059761,-0.105825,0.292196,-0.0602029,-0.0953007
3.3,0.285133,-0.0624765,-0.178479,0.290094,-0.0628544,-0.168338
3.31,0.283704,-0.0646421,-0.241058,0.289857,-0.0646542,-0.230991
3.32,0.279726,-0.0643341,-0.275351,0.286453,-0.0639998,-0.265598
3.33,0.271681,-0.0638831,-0.277568,0.278708,-0.0632539,-0.267627
3.34,0.259489,-0.0651532,-0.252699,0.266118,-0.0641804,-0.242509
3.35,0.246027,-0.0686359,-0.207769,0.251655,-0.0675104,-0.19732
3.36,0.233872,-0.0729159,-0.150858,0.23843,-0.0715919,-0.139621
3.37,0.220879,-0.0739679,-0.0834605,0.223634,-0.0724219,-0.0719357
3.38,0.197128,-0.0555808,0.0185854,0.197141,-0.0539166,0.0302198
3.39,0.189591,-0.0248396,0.109574,0.186959,-0.0231282,0.121292
3.4,0.193927,0.00098034,0.187879,0.188652,0.00275439,0.199888
3.41,0.183754,0.0147266,0.26734,0.176485,0.01679,0.278792
3.42,0.198058,0.0260875,0.292382,0.190193,0.0286587,0.303813
3.43,0.224733,0.0365052,0.282175,0.21771,0.0397342,0.292759
3.44,0.255272,0.0453961,0.250025,0.249366,0.048974,0.260031
