t,x_true,y_true,x_est,y_est
4.38,0.42318,0.0014545,0.449187,0.00127042
4.39,0.42508,0.00182373,0.450954,0.00155426
4.4,0.426992,0.00190797,0.452702,0.00157909
4.41,0.428853,0.00180782,0.454396,0.00142104
4.42,0.430764,0.0015895,0.456252,0.00114004
4.43,0.432898,0.00126711,0.458675,0.000728254
4.44,0.435328,0.000851563,0.461408,0.000250698
4.45,0.438044,0.00037324,0.464011,-0.000242287
4.46,0.440979,-0.000135419,0.466844,-0.000758372
4.47,0.444021,-0.000664107,0.469801,-0.00127722
4.48,0.447061,-0.00121396,0.472782,-0.00179717
4.49,0.45004,-0.00178211,0.475723,-0.00231626
4.5,0.452964,-0.0023718,0.478639,-0.00283729
4.51,0.455863,-0.0029843,0.481577,-0.00337153
4.52,0.458723,-0.00359831,0.484513,-0.00390643
4.53,0.461508,-0.00420193,0.487381,-0.00443876
4.54,0.464175,-0.00480664,0.490118,-0.0049766
4.55,0.466702,-0.00543359,0.492687,-0.00553879
4.56,0.469095,-0.00609561,0.495093,-0.00613186
4.57,0.471373,-0.0067882,0.497346,-0.00676303
4.58,0.473471,-0.00740323,0.499378,-0.00733091
4.59,0.475401,-0.00776186,0.50117,-0.00766653
4.6,0.477334,-0.00783776,0.502926,-0.00771742
4.61,0.479203,-0.00773475,0.504617,-0.00755262
4.62,0.481114,-0.00751617,0.506441,-0.00720933
4.63,0.483244,-0.00719341,0.508809,-0.00668887
4.64,0.485667,-0.00677518,0.511406,-0.00617293
