t,roll_err_deg,roll_err_rms_deg,bay_err_rms,roll_sigma_deg,bay_err,bay_sigma,turning
3.09,-0.0820679,0.105251,0.0176832,0.880099,0.020808,0.150693,0
3.1,-0.0918608,0.104525,0.0176134,0.880077,0.0245985,0.150613,0
3.11,-0.117015,0.104019,0.0175474,0.879827,0.0290491,0.150513,0
3.12,-0.142765,0.10368,0.0174899,0.87926,0.0328094,0.150379,0
3.13,-0.143972,0.103486,0.0174513,0.878428,0.0319925,0.150216,0
3.14,-0.105279,0.103517,0.0174398,0.877534,0.0247008,0.150049,0
3.15,-0.027718,0.103694,0.0174456,0.876648,0.0116804,0.149879,0
3.16,0.0681618,0.103748,0.0174473,0.875628,-0.00423593,0.149679,0
3.17,0.163746,0.103786,0.0174312,0.874343,-0.0206294,0.149425,0
3.18,0.231998,0.104242,0.01743,0.872752,-0.0354822,0.149114,0
3.19,0.270947,0.105548,0.0175298,0.870942,-0.0451779,0.14877,0
3.2,0.284341,0.106868,0.0176561,0.869172,-0.0466611,0.148446,0
3.21,0.268589,0.107947,0.0177808,0.867624,-0.040932,0.148189,0
3.22,0.206823,0.108837,0.0179105,0.866392,-0.0283349,0.148014,0
3.23,0.113883,0.10961,0.0180572,0.865395,-0.0126684,0.147905,0
3.24,0.061587,0.110333,0.0182402,0.86471,-0.00535646,0.147866,0
3.25,0.0485867,0.111104,0.018491,0.864164,-0.00498823,0.147862,0
3.26,0.0373498,0.112224,0.0188423,0.863555,-0.00443362,0.147856,0
3.27,0.017139,0.113822,0.0193017,0.862882,-0.00357331,0.147846,0
3.28,-0.00915638,0.115272,0.019763,0.862175,-0.00239761,0.14783,0
3.29,-0.0327705,0.115349,0.0200018,0.861471,-0.000965743,0.147807,0
3.3,-0.0477391,0.114524,0.0200103,0.860801,0.000361642,0.147775,0
3.31,-0.0513018,0.113786,0.0199208,0.860153,0.00107575,0.147732,0
3.32,-0.0479236,0.114656,0.0199545,0.859405,0.00123797,0.147659,0
3.33,-0.0407372,0.118245,0.0203231,0.858585,0.00114563,0.147563,0
3.34,-0.0387144,0.123985,0.021087,0.857792,0.000966207,0.147471,0
3.35,-0.036866,0.130573,0.0220093,0.857082,0.000448306,0.147395,0
3.36,-0.0316677,0.136746,0.0227283,0.856413,-0.0011279,0.147331,0
3.37,-0.0173755,0.140855,0.0229956,0.85572,-0.00353918,0.147268,0
3.38,0.0153381,0.142164,0.0228155,0.855085,-0.00639495,0.147203,0
3.39,0.0423263,0.141956,0.0225061,0.854668,-0.00812114,0.147132,0
3.4,0.0366704,0.142127,0.0223811,0.854403,-0.00778965,0.147057,0
3.41,0.00453803,0.14245,0.0224035,0.854292,-0.00505693,0.146986,0
3.42,-0.0436933,0.141734,0.0223687,0.854348,0.00100234,0.146925,0
3.43,-0.0973468,0.139038,0.0220468,0.854534,0.010183,0.146872,0
3.44,-0.123158,0.134402,0.0213087,0.854953,0.0155278,0.14685,0
3.45,-0.11312,0.128547,0.0202806,0.855482,0.0152924,0.146844,0
3.46,-0.106101,0.122291,0.0192799,0.855981,0.0154353,0.146832,0
3.47,-0.0967443,0.117295,0.0186042,0.85643,0.0164997,0.146812,0
3.48,-0.0903231,0.114862,0.0183544,0.856776,0.0185788,0.146781,0
3.49,-0.094375,0.114273,0.0183301,0.856972,0.021645,0.146734,0
3.5,-0.103835,0.114008,0.0183328,0.856998,0.025072,0.146672,0
3.51,-0.12689,0.113852,0.0183552,0.85682,0.0286633,0.146592,0
